,,,,,,,,,,,,,,,,,
Week,Week Starting Date,Week End Date,Saturday Sleep Hours,Activity,Date,Incline Bench Max Weight,Activity,Date,Assisted Pull Up Machine Assitance Weight,Activity,Date,Leg Press Max Rep Weight,Leg_Volume_TLv (kg-reps) Leg Day A,Activity,Date,5k Runtime,5k Ave Pace
1 (Baseline),01/12/2025,07/12/2025,4hrs,Upper A,01/12/2025,40kg,Upper A,01/12/2025,20kg,Lower A,02/12/2025,50kg,7302kg-150reps,Jogging,07/12/2025,38:45:00,7:45/km
2,08/12/2025,14/12/2025,3hrs,Upper A,08/12/2025,45kg,UpperA,08/12/2025,16kg,Lower A,09/12/2025,170lbs,19533.804lbs -150reps,Jogging,14/12/2025,42:44:00,8:33/km
3,December/15/2025,December/21/2025,8hrs,Upper A,15/12/2025,45kg,Upper A,15/12/2025,16kg,Lower A,16/12/2025,190lbs,21111.804 - 150reps,Jogging,21/12/2025,41:42:00,8:20/km
4,December/22/2025,December/28/2025,7hrs,Upper A,25/12/2025,45kg,Upper A,25/12/2025,12kg,Lower A,26/12/2025,200lbs,22951.804 - 149reps,Jogging,28/12/2025,36:36:00,7:19/km
5,December/29/2025,January/4/2026,4hrs,Upper A,29/12/2025,45kg,Upper A,29/12/2025,12kg,Lower A,30/12/2025,200lbs,23061.804 - 150reps,Jogging,04/01/2026,37:59:00,7:30/km
6,January/5/2026,January/11/2026,8hrs,Upper A,05/01/2026,45kg,Upper A,05/01/2026,12kg,Lower A,06/01/2026,200lbs,22461.804 - 147reps,Jogging,11/01/2026,32:33:00,6:31/km
7,January/12/2026,January/18/2026,4hrs,Upper A,12/01/2026,45kg,Upper A,12/01/2026,12kg,Lower A,13/01/2026,222lbs,23501.804 - 148reps,Jogging,18/01/2026,36:54:00,7:23km
8,January/19/2026,January/25/2026,8hrs,Upper A,19/01/2026,45kg,Upper A,19/01/2026,12kg,Lower A,20/01/2026,222lbs,24178.804 - 145reps,Jogging,25/01/2026,31:34:00,6:19/km
9,January/26/2026,February/1/2026,7hrs,Upper A,26/01/2026,50kg,Upper A,26/01/2026,8kg,Lower A,27/01/2026,242.5lbs,25105.304 - 149reps,Jogging,01/02/2026,33:45:00,6:45/km
10,February/2/2026,February/8/2026,8hrs,Upper A,02/02/2026,50kg,Upper A,02/02/2026,8kg,Lower A,03/02/2026,242.5lbs,25350.624 - 150 reps,Jogging,08/02/2026,31:00:00,6:12/km
